Object ID,Street,Cross Street,Direction,Facing Street,Distance,CNN Segment ID,Last Edited Date,Geom
8659,LYON,MARINA,CI,SB,N LINE,27027000,,"(37.8049987695, -122.448334385)"
8660,LYON,MCALLISTER,NW,SB,0,26374000,,"(37.7771693889, -122.443334274)"
8661,LYON,MCALLISTER,SE,NB,0,26374000,,"(37.7771693889, -122.443334274)"
8662,LYON,PACIFIC,NW,SB, ,26886000,,"(37.791883472, -122.446312769)"
8663,PLYMOUTH,YERBA BUENA,NE,WB,00,22804000,,"(37.7325481415, -122.458626941)"
8664,POINT LOBOS,42ND AVE,SW,EB, ,27917000,,"(37.7796146183, -122.502988817)"
8665,POINT LOBOS,43RD AVE,SW,EB,0,27918000,,"(37.7797100242, -122.504070054)"
8666,POINT LOBOS,MERRIE,SS,NB,200W,51560000,,"(37.7794146017, -122.511437369)"
8667,POLARIS,POPE,NE,WB, ,33351000,,"(37.7089735178, -122.440037777)"
8668,POLK,BEACH,SE,NB,00,26703000,,"(37.8062268412, -122.4238579)"
8669,POLK,FILBERT,SE,NB, ,25564000,,"(37.7996986185, -122.422538434)"
8670,POLK,GREEN,NW,SB,0,25562000,,"(37.797829897, -122.422160993)"
8671,POLK,GREEN,SE,NB,0,25562000,,"(37.797829897, -122.422160993)"
8672,WHITNEY YOUNG,CASHMERE,SE,NB,5S,20200000,,"(37.7366060719, -122.385726216)"
8673,WHITNEY YOUNG,NEWCOMB,NW,SB, ,33204000,,"(37.7334788989, -122.384560637)"
8674,WHITTIER,BRUNSWICK,SE,NB,0,21500000,,"(37.7090760518, -122.447687106)"
8675,ILLINOIS,16TH ST,SE,NB,0,23575000,,"(37.7669628566, -122.388177346)"
8676,INDIANA,22ND ST,NW,SB,00,23619000,,"(37.7577728606, -122.391187406)"
8677,INDIANA,23RD ST,NW,SB,00,23617000,,"(37.7552188475, -122.390935152)"
8678,INDIANA,23RD ST,SE,NB,00,23617000,,"(37.7552188475, -122.390935152)"
8679,INDIANA,25TH ST,SE,NB,0,23609000,,"(37.7526680188, -122.390696065)"
8680,INDIANA,MARIPOSA,SE,NB,0,23653000,,"(37.7641463481, -122.391794219)"
8681,INDUSTRIAL,PALOU,SW,EB, ,20755000,,"(37.7396640644, -122.400912223)"
8682,INDUSTRIAL,SELBY,SW,EB,0,20758000,,"(37.7399069164, -122.399698696)"
8683,INGALLS,CARROLL,SE,NB,0,20450000,,"(37.722856384, -122.389632747)"
8684,INGALLS,CARROLL,NW,SB,0,20450000,,"(37.722856384, -122.389632747)"
8685,INGALLS,EGBERT,SE,NB, ,20447000,,"(37.7216047947, -122.390758546)"
8686,INGALLS,FITZGERALD,NW,SB, ,20448000,,"(37.7209809285, -122.391319694)"
